"id","file","creator","title","publisher","date","subject","contributor"
"usealifememoria00guilgoog","corpus/usealifememoria00guilgoog_djvu.txt","Linda Thayer Guilford","The Use of a Life: Memorials of Mrs. Z. P. Grant Banister ...","American tract society [pref","1885",NA,"University of Michigan"
"religionfuture00socigoog","corpus/religionfuture00socigoog_djvu.txt","David James Burrell ,  American Tract Society","The Religion of the Future","American Tract Society","1894",NA,"University of Michigan"
"twosixpences00winn","corpus/twosixpences00winn_djvu.txt","Winnie, Aunt","The two sixpences","Boston, American Tract Society","1862",NA,"Boston Public Library"
"memoirmrssarahl00hookgoog","corpus/memoirmrssarahl00hookgoog_djvu.txt","Edward William Hooker","Memoir of Mrs. Sarah L. Huntington Smith: Late of the American Mission in Syria","American Tract Society","1845",NA,"unknown library"
"studiesinmarksg00robigoog","corpus/studiesinmarksg00robigoog_djvu.txt","Charles Seymour Robinson","Studies in Mark's Gospel","American tract society","1888",NA,"University of Michigan"
"ruthiesventureo00hopkgoog","corpus/ruthiesventureo00hopkgoog_djvu.txt","Isabel Thompson Hopkins","Ruthie's Venture, Or, Flowers, Fruit, and Thorns in Glenbury","American Tract Society","1876",NA,"New York Public Library"
"womanherdignity00batgoog","corpus/womanherdignity00batgoog_djvu.txt","Lizzie] [Bates","Woman: Her Dignity and Sphere","American Tract Society","1870",NA,"University of Michigan"
"huguenotsfrance00martgoog","corpus/huguenotsfrance00martgoog_djvu.txt","Sarah Towne Martyn","The Huguenots of France: Or, The Times of Henry IV","American tract society","1864",NA,"University of Michigan"
"youngchristianme00blak","corpus/youngchristianme00blak_djvu.txt","Blake, George Washington, 1808-1844","The young Christian merchant. A memoir of George W. Blake, late of Buenos Ayres, S.A.","Boston, American Tract Society","1860",NA,"University of Connecticut Libraries"
"tenyearsoneuphra01whee","corpus/tenyearsoneuphra01whee_djvu.txt","Wheeler, C. H. (Crosby Howard), 1823-1896","Ten years on the Euphrates, or primitive missionary policy illustrated / by H.C. Wheeler ; with an introduction by N.G. Clark","Boston : American Tract Society","1868",NA,"Wellesley College Library"
"recollectionsma01fiskgoog","corpus/recollectionsma01fiskgoog_djvu.txt","Fiske, Fidelia, 1816-1864. [from old catalog]","Recollections of Mary Lyon","Boston, American tract society","1866","Lyon, Mary, 1797-1849","Harvard University"
"storyhymnsorhym00buttgoog","corpus/storyhymnsorhym00buttgoog_djvu.txt","Hezekiah Butterworth","The Story of the Hymns: Or, Hymns that Have a History: an Account of the Origin of Hymns of ...","American Tract Society","1875",NA,"University of Michigan"
"MN5156ucmf_0","corpus/MN5156ucmf_0_djvu.txt",NA,"Swedenborgianism examined [microform]","Boston : American Tract Society","1861","Swedenborg, Emanuel, 1688-1772","University of Chicago"
"honorablecluboth00palm","corpus/honorablecluboth00palm_djvu.txt","Palmer, Lynde","The honorable club : and other tales","Boston : American Tract Society","1867","Children's stories, American","New York Public Library"
"powerofchristian017371mbp","corpus/powerofchristian017371mbp_djvu.txt","E. HITOHCOCK","THE POWER OF CHRISTIAN BENEVOLENCE ILLUSTRATED IN THE LIFE AND LABORS OF MARY LYON","AMERICAN TRACT SOCIETY","1838",NA,"Universal Digital Library"
"lifeanddeathete00socigoog","corpus/lifeanddeathete00socigoog_djvu.txt",NA,"Life and death eternal; a refutation of the theory of annihilation","Boston : American Tract Society","1866","Annihilationism","New York Public Library"
"bookforhome00upha","corpus/bookforhome00upha_djvu.txt","Upham, Thomas Cogswell, 1799-1872. [from old catalog]","A book for the home","Boston, American tract society","1862",NA,"The Library of Congress"
"newlyenlistedas00cuylgoog","corpus/newlyenlistedas00cuylgoog_djvu.txt","Theodore Ledyard Cuyler","Newly Enlisted: A Series of Talks with Young Converts","American tract society","1888",NA,"Harvard University"
"lifeandadventur00clargoog","corpus/lifeandadventur00clargoog_djvu.txt","Edward Warren Clark","Life and Adventure in Japan","American Tract Society","1878",NA,"unknown library"
"fromhongkongtoh00clargoog","corpus/fromhongkongtoh00clargoog_djvu.txt","Edward Warren Clark","From Hong-Kong to the Himalayas: Or, Three Thousand Miles Through India","American Tract Society","1880",NA,"University of California"
"101169498.nlm.nih.gov","corpus/101169498_djvu.txt","American Tract Society (Boston, Mass.)","The American Tract Society's almanac for the year of Our Lord and Saviour Jesus Christ 1861 : being the first after bissextile, and until the fourth of July, the eighty-fifth year of the independence of the United States : calculated for Boston, New York, Washington, and Charleston, and four parallels of latitude, adapted for use througout the country","Boston : American Tract Society","1861","Religion","U.S. National Library of Medicine"
"powerofchristian005274mbp","corpus/powerofchristian005274mbp_djvu.txt","E. HITOHCOCK","THE POWER OF CHRISTIAN BENEVOLENCE ILLUSTRATED IN THE LIFE AND LABORS OF MARY LYON","AMERICAN TRACT SOCIETY","1838",NA,"Universal Digital Library"
"wordstowinnersof00bona","corpus/wordstowinnersof00bona_djvu.txt",NA,"Words to the winners of souls","Boston, American tract society","1860","Pastoral theology","The Library of Congress"
"christianselfcul00baco","corpus/christianselfcul00baco_djvu.txt","Bacon, Leonard, 1802-1881","Christian self-culture : or counsels for the beginning and progress of a Christian life","Boston : American Tract Society","1862","Christian life","Princeton Theological Seminary Library"
"ministryweneed00swee","corpus/ministryweneed00swee_djvu.txt","Sweetser, Seth, 1807-1878","The ministry we need","Boston : American Tract Society","1873","Pastoral theology","New York Public Library"
"originoffourgosp00tisc","corpus/originoffourgosp00tisc_djvu.txt",NA,"Origin of the four Gospels","Boston, American tract society","1867","Bible","Princeton Theological Seminary Library"
"ecumenicalmissi02goog","corpus/ecumenicalmissi02goog_djvu.txt","Ecumenical conference on foreign missions ,  New York,  1900","Ecumenical Missionary Conference, New York, 1900","American tract society","1900",NA,"unknown library"
"ansdalehallorsta00free","corpus/ansdalehallorsta00free_djvu.txt","Freeland, Caroline J","Ansdale Hall : or, Stand by your colors","Boston : American Tract Society","1868","Children's stories, American","New York Public Library"
"recollectionsma00fiskgoog","corpus/recollectionsma00fiskgoog_djvu.txt","Fiske, Fidelia, 1816-1864. [from old catalog]","Recollections of Mary Lyon","Boston, American tract society","1866","Lyon, Mary, 1797-1849","University of Michigan"
"circulationandc00socigoog","corpus/circulationandc00socigoog_djvu.txt","American Tract Society","Circulation and Character of the Volumes of the American Tract Society: For the Society's ...","American tract society","1848",NA,"New York Public Library"
"lifeanddeathete01socigoog","corpus/lifeanddeathete01socigoog_djvu.txt",NA,"Life and death eternal; a refutation of the theory of annihilation","Boston : American Tract Society","1866","Annihilationism","Harvard University"
"scenesinhawaiian00ande_0","corpus/scenesinhawaiian00ande_0_djvu.txt","Anderson, Mary E.","Scenes in the Hawaiian Islands and California","American Tract Society","1865","Hawaii - Description and travel","Congregational Library"
"scenesinhawaiian01ande","corpus/scenesinhawaiian01ande_djvu.txt","Anderson, Mary E. (Mary Evarts), 1838-1905","Scenes in the Hawaiian islands and California","Boston, American tract society","1865",NA,"The Library of Congress"
"pathsoflord00reid","corpus/pathsoflord00reid_djvu.txt","Reid, William, 1814-1896","The paths of the Lord","Boston : American Tract Society","1890","Christian life","Princeton Theological Seminary Library"
"hintsandhelpson00burrgoog","corpus/hintsandhelpson00burrgoog_djvu.txt","David James Burrell ,  Joseph Dunn Burrell","Hints and Helps on the Sunday-school Lessons, 1894","American tract society","1893",NA,"University of Michigan"
"ost-geography-sacredgeographya00barr","corpus/sacredgeographya00barr_djvu.txt","E.P. Barrows","Sacred Geography and Antiquities","American Tract Society","1872",NA,"hst"
"missionarysister00benj","corpus/missionarysister00benj_djvu.txt","Benjamin, Mary Gladding Wheeler, 1814-1871","The missionary sisters: a memorial of Mrs. Seraphina Haynes Everett, and Mrs. Harriet Martha Hamlin, late missionaries of the A.B.C.F.M. at Constantinople","Boston, American tract society","1860",NA,"The Library of Congress"
"wickednotannihil00warr","corpus/wickednotannihil00warr_djvu.txt",NA,"The wicked not annihilated: refutation of modern sadduceeism","Boston, American tract society","1867","Annihilationism","The Library of Congress"
"jerusalemandits00massgoog","corpus/jerusalemandits00massgoog_djvu.txt","William King Tweedie ,  American Tract Society,  American Tract Society (Boston,  Mass.)","Jerusalem and Its Environs; Or, The Holy City as it was and is","American Tract Society","1860",NA,"New York Public Library"
"oldhighwaysinch00willgoog","corpus/oldhighwaysinch00willgoog_djvu.txt","Isabelle Williamson","Old highways in China","American Tract Society","1884",NA,"Oxford University"
"morningstarhisto00warr","corpus/morningstarhisto00warr_djvu.txt","Warren, Jane S., d. 1881","The Morning Star : history of the children's missionary vessel, and of the Marquesan and Micronesian missions","Boston : American Tract Society","1860",NA,"School of Theology, Boston University"
"sketchofcoljames00dodd","corpus/sketchofcoljames00dodd_djvu.txt","Doddridge, Philip, 1702-1751. [from old catalog]","Sketch of Col. James Gardiner, of the English army","Boston, American tract society","1860",NA,"The Library of Congress"
"remember00palm","corpus/remember00palm_djvu.txt","Palmer, Ray, 1808-1887","Remember me : or, the holy communion","[Boston] : American Tract Society","1865",NA,"Princeton Theological Seminary Library"
"saintandhissavi03spurgoog","corpus/saintandhissavi03spurgoog_djvu.txt","Charles Haddon Spurgeon","The Saint and His Saviour: Or, The Progress of the Soul in the Knowledge of ...","American Tract Society","1857",NA,"University of Michigan"
"rowlandhillhisl00socigoog","corpus/rowlandhillhisl00socigoog_djvu.txt","Vernon John Charlesworth,  Rowland Hill,  American Tract Society","Rowland Hill: his life, anecdotes, and pulpit sayings","American Tract Society","1876",NA,"Oxford University"
"fromolivettopat00houggoog","corpus/fromolivettopat00houggoog_djvu.txt","Louise Seymour Houghton","From Olivet to Patmos: The First Christian Century in Picture and Story","American Tract Society","1893",NA,"New York Public Library"
"followingafterj00ande","corpus/followingafterj00ande_djvu.txt","Anderson, Eliza H., Mrs. [from old catalog]","Following after Jesus","Boston, American tract society","1863","Underwood, Susan Maria, 1830-1861. [from old catalog]","The Library of Congress"
"herlittleworld00chesgoog","corpus/herlittleworld00chesgoog_djvu.txt","Sarah E. Chester","Her Little World","American Tract Society","1876",NA,"New York Public Library"
"ecumenicalmissio003136mbp","corpus/ecumenicalmissio003136mbp_djvu.txt",NA,"Ecumenical Missionary Conference New York 1900 Vol I","American Tract Society","1900",NA,"Universal Digital Library"
"biblestudentsco00socigoog","corpus/biblestudentsco00socigoog_djvu.txt","William C. Foote ,  William Wilberforce Rand,  American Tract Society,  American Tract Society","Bible Student's Companion: Containing Bible Text-book, Concordance, Table of ...","American Tract Society","1826",NA,"University of Wisconsin - Madison"
"personchristper00schagoog","corpus/personchristper00schagoog_djvu.txt","Philip Schaff","The person of Christ: the perfection of his humanity viewed as a proof of his divinity","American Tract Society","1880",NA,"Oxford University"
"anewmemoirhanna02kniggoog","corpus/anewmemoirhanna02kniggoog_djvu.txt","Helen Cross Knight","A New Memoir of Hannah More; Or, Life in Hall and Cottage","American Tract Society","1862",NA,"Harvard University"
"bub_gb_IKAB1ayLNNsC","corpus/bub_gb_IKAB1ayLNNsC_djvu.txt","Perkins, Justin, 1805-1869","Missionary life in Persia : being glimpses at a quarter of a century of labors among the Nestorian Christians","Boston : American Tract Society","1861",NA,"unknown library"
"cihm_27436","corpus/cihm_27436_djvu.txt","Chaplin, J. D. (Jane Dunbar), 1819-1884","Mother West's neighbors [microform]","Boston : American Tract Society","1876",NA,"Canadiana.org"
"tenyearsoneuphr00wheegoog","corpus/tenyearsoneuphr00wheegoog_djvu.txt","Crosby Howard Wheeler","Ten Years on the Euphrates, Or, Primitive Missionary Policy Illustrated","American Tract Society","1868",NA,"Harvard University"
"englishandchine00loomgoog","corpus/englishandchine00loomgoog_djvu.txt","Augustus Ward Loomis","English and Chinese Lessons","American tract society","1872",NA,"Harvard University"
"remembermeorholy00palm","corpus/remembermeorholy00palm_djvu.txt","Palmer, Ray, 1808-1887","Remember me : or, the holy communion","Boston : American Tract Society","1865","Lord's Supper","New York Public Library"
"storytunes00buttgoog","corpus/storytunes00buttgoog_djvu.txt","Hezekiah Butterworth","The Story of the Tunes","American Tract Society","1890",NA,"Harvard University"
"ministrywenee00swee","corpus/ministrywenee00swee_djvu.txt","Sweetser, Seth, 1807-1878","The ministry we need","Boston : American Tract Society","1873","Pastoral theology","Princeton Theological Seminary Library"
"evidenceschrist02mcilgoog","corpus/evidenceschrist02mcilgoog_djvu.txt","Charles Pettit McIlvaine","The Evidences of Christianity in Their External Or Historical Division: Exhibited in a Course of ...","American tract society","1832",NA,"University of Michigan"
"missionsmartyrsi00bost","corpus/missionsmartyrsi00bost_djvu.txt",NA,"Missions and martyrs in Madagascar","Boston, American tract society","1864","Missions","Princeton Theological Seminary Library"
"recollectionsofm00fiskiala","corpus/recollectionsofm00fiskiala_djvu.txt",NA,"Recollections of Mary Lyon : with selections from her instructions to the pupils in Mt. Holyoke female seminary","Boston : American Tract Society","1866",NA,"University of California Libraries"
"heroessouthseas00bankgoog","corpus/heroessouthseas00bankgoog_djvu.txt","Martha Burr Banks","Heroes of the South Seas","American tract society","1896",NA,"University of Michigan"
"dicklangdonscar00herbgoog","corpus/dicklangdonscar00herbgoog_djvu.txt","Sarah Ann Flanders Herbert","Dick Langdon's Career: In Satan's Schools and Christ's Schools","American Tract Society","1885",NA,"New York Public Library"
"storymaryjonesa00ropegoog","corpus/storymaryjonesa00ropegoog_djvu.txt","Mary Emily Ropes","The Story of Mary Jones and Her Bible","American Tract Society","1892",NA,"Harvard University"
"MN41596ucmf_8","corpus/MN41596ucmf_8_djvu.txt","Gaussen, Louis, 1790-1863","The canon of the Holy Scriptures [microform] : examined in the light of history","Boston : American Tract Society","1862","Bible","University of Chicago"
"glimpsesofwestaf00whit","corpus/glimpsesofwestaf00whit_djvu.txt","Whiton, Samuel J","Glimpses of West Africa, with sketches of missionary labor","Boston, American tract Society","1866","Missions","School of Theology, Boston University"
"swedenborgianis00socigoog","corpus/swedenborgianis00socigoog_djvu.txt",NA,"Swedenborgianism examined","Boston, American Tract Society","1861","Swedenborg, Emanuel, 1688-1772","Harvard University"
"islandspacificf01alexgoog","corpus/islandspacificf01alexgoog_djvu.txt","James McKinney Alexander","The Islands of the Pacific: From the Old to the New","American tract society","1895",NA,"University of Michigan"
"workmanhisfalse00thomgoog","corpus/workmanhisfalse00thomgoog_djvu.txt","Joseph Parrish Thompson","The Workman: His False Friends and His True Friends","American tract society","1879",NA,"University of Michigan"
"temptedtounbeli00burrgoog","corpus/temptedtounbeli00burrgoog_djvu.txt","Enoch Fitch Burr","Tempted to Unbelief","American tract society","1882",NA,"University of Michigan"
"snowflakeschapte00warr","corpus/snowflakeschapte00warr_djvu.txt","Warren, Israel P. (Israel Perkins), 1814-1892","Snow-flakes : a chapter from the book of nature","Boston : American Tract Society","1863",NA,"Boston Public Library"
"senseswithnumero00amer","corpus/senseswithnumero00amer_djvu.txt","American Tract Society (Boston, Mass.)","The senses : with numerous illustrations","Boston : American Tract Society","1863",NA,"Francis A. Countway Library of Medicine"
"homestoriesforb00socigoog","corpus/homestoriesforb00socigoog_djvu.txt","American Tract Society","Home Stories, for Boys and Girls","American Tract Society","1872",NA,"University of Michigan"
"ecumenicalmissio014136mbp","corpus/ecumenicalmissio014136mbp_djvu.txt",NA,"Ecumenical Missionary Conference New York 1900 Vol I","American Tract Society","1900",NA,"Universal Digital Library"
"hannahsvoworhall00chic","corpus/hannahsvoworhall00chic_djvu.txt","Chichester, Darwin","Hannah's vow : or, Hallowed motherhood","Boston : American Tract Society","1874",NA,"The Library of Congress"
"leobertramorbra00hoffgoog","corpus/leobertramorbra00hoffgoog_djvu.txt","Franz Hoffman","Leo Bertram, Or, The Brave Heart","American Tract Society","1880",NA,"New York Public Library"
"childsbookonsab00hookgoog","corpus/childsbookonsab00hookgoog_djvu.txt","Horace Hooker","The Child's Book on the Sabbath","American Tract Society","1835",NA,"Harvard University"
"christianitysch00johngoog","corpus/christianitysch00johngoog_djvu.txt","Herrick Johnson","Christianity's Challenge and Some Phases of Christianity Submitted for Candid Consideration.","American tract society","1881",NA,"University of Michigan"
"gospelgladness01socigoog","corpus/gospelgladness01socigoog_djvu.txt","David James Burrell ,  American Tract Society","The Gospel of Gladness","American tract society","1892",NA,"University of Michigan"
"vitalgodlinessa00plumgoog","corpus/vitalgodlinessa00plumgoog_djvu.txt","William Swan Plumer","Vital Godliness: A Treatise on Experimental and Practical Piety","American tract society","1864",NA,"University of Michigan"
"americanheroeso00socigoog","corpus/americanheroeso00socigoog_djvu.txt","Hiram Collins Haydn ,  American Tract Society","American Heroes on Mission Fields: Brief Missionary Biographies","American tract society","1890",NA,"University of Michigan"
"swedenborgianism00pond","corpus/swedenborgianism00pond_djvu.txt",NA,"Swedenborgianism examined","Boston, American Tract Society","1861","Swedenborg, Emanuel, 1688-1772","Princeton Theological Seminary Library"
"africapastandpr00moisgoog","corpus/africapastandpr00moisgoog_djvu.txt","William Moister","Africa: Past and Present ; a Concise History of the Country, Its History, Geography ...","American Tract Society","1879",NA,"unknown library"
"praierpra00amer","corpus/praierpra00amer_djvu.txt","American Tract Society","Songs of prayer and praise","Boston : American Tract Society","1861","Hymns, English","Princeton Theological Seminary Library"
"historyreformat22aubgoog","corpus/historyreformat22aubgoog_djvu.txt","Jean Henri Merle d 'Aubigné","History of the Reformation of the Sixteenth Century","American Tract Society","1848",NA,"Harvard University"
"clevelandsshowin00sheliala","corpus/clevelandsshowin00sheliala_djvu.txt","Sheldon, Electa M Bronson, d. 1902","The Clevelands : showing the influence of a Christian family in a new settlement","Boston : American Tract Society","1860",NA,"University of California Libraries"
"nellienewtonorpa00bost","corpus/nellienewtonorpa00bost_djvu.txt",NA,"Nellie Newton, or, Patience and perseverance","Boston : American Tract Society","1800",NA,"University of California Libraries"
"redeemersketchof00pres","corpus/redeemersketchof00pres_djvu.txt",NA,"The Redeemer: a sketch of the history of redemption","Boston, American Tract Society","1867","Redemption","Princeton Theological Seminary Library"
"nogainswithoutp00socigoog","corpus/nogainswithoutp00socigoog_djvu.txt","Helen Cross Knight ,  American Tract Society,  Mass American Tract Society (Boston ,  American Tract Society (Boston,  Mass .).,  American Tract Society","No Gains Without Pains: A True Life for the Boys","American Tract Society","1856",NA,"Harvard University"
"storyhymnsorhym02buttgoog","corpus/storyhymnsorhym02buttgoog_djvu.txt","Hezekiah Butterworth","The Story of the Hymns: Or, Hymns that Have a History: an Account of the Origin of Hymns of ...","American Tract Society","1875",NA,"Harvard University"
"missionsathomea00whergoog","corpus/missionsathomea00whergoog_djvu.txt","E. M. Wherry","Missions at Home and Abroad: Papers and Addresses Presented at the World's Congress of Mission ...","American tract society","1895",NA,"University of Michigan"
"americantracts00unkngoog","corpus/americantracts00unkngoog_djvu.txt",NA,"American Tracts","American Tract Society","1827",NA,"unknown library"
"ahistoryenglish00martgoog","corpus/ahistoryenglish00martgoog_djvu.txt","William Carlos Martyn","A History of the English Puritans","American tract society","1867",NA,"University of Michigan"
"africanslavetrad00clar","corpus/africanslavetrad00clar_djvu.txt","Clark, Rufus W. (Rufus Wheelwright), 1813-1886","The African slave trade","Boston : American Tract Society","1860",NA,"The Library of Congress"
"MN40284ucmf_3","corpus/MN40284ucmf_3_djvu.txt","S. J. (Sarah Jackson)","Letters to a young Christian [microform]","Boston : American Tract Society","1825","Christian life","University of Chicago"
"lifedeatheternal00bart","corpus/lifedeatheternal00bart_djvu.txt",NA,"Life and death eternal; a refutation of the theory of annihilation","Boston : American Tract Society","1866","Annihilationism","New York Public Library"
"historyreformat09aubgoog","corpus/historyreformat09aubgoog_djvu.txt","Jean Henri Merle d 'Aubigné","History of the Reformation of the Sixteenth Century","American Tract Society","1848",NA,"New York Public Library"
"ecumenicalmissi03goog","corpus/ecumenicalmissi03goog_djvu.txt","Ecumenical conference on foreign missions ,  New York,  1900","Ecumenical Missionary Conference, New York, 1900","American tract society","1900",NA,"unknown library"
"lifeanddeathete02socigoog","corpus/lifeanddeathete02socigoog_djvu.txt",NA,"Life and death eternal; a refutation of the theory of annihilation","Boston : American Tract Society","1866","Annihilationism","Harvard University"
"missionarysiste00benjgoog","corpus/missionarysiste00benjgoog_djvu.txt","Benjamin, Mary Gladding Wheeler, 1814-1871","The missionary sisters: a memorial of Mrs. Seraphina Haynes Everett, and Mrs. Harriet Martha Hamlin, late missionaries of the A.B.C.F.M. at Constantinople","Boston, American tract society","1860",NA,"Harvard University"
"originfourgospe00tiscgoog","corpus/originfourgospe00tiscgoog_djvu.txt","Constaintin von Tischendorf","Origin of the Four Gospels","American tract society","1867",NA,"University of Michigan"
"gospelgladness00socigoog","corpus/gospelgladness00socigoog_djvu.txt","David James Burrell ,  American Tract Society","The Gospel of Gladness","American Tract Society","1892",NA,"New York Public Library"
"ladyhuntingtona00kniggoog","corpus/ladyhuntingtona00kniggoog_djvu.txt","Helen Cross Knight","Lady Huntington and Her Friends; Or, The Revival of the Work of God in the Days of Wesley ...","American Tract Society","1853",NA,"University of California"
"grammarbengaban00nassgoog","corpus/grammarbengaban00nassgoog_djvu.txt","James L. Mackey ,  Robert Hamill Nassau","Grammar of the Benga-Bantu Language","American Tract Society","1892",NA,"unknown library"
"cihm_27435","corpus/cihm_27435_djvu.txt","Chaplin, J. D. (Jane Dunbar), 1819-1884","Gems of the bog [microform] : a tale of the Irish peasantry","Boston : American Tract Society","1869",NA,"Canadiana.org"
"MN41491ucmf_0","corpus/MN41491ucmf_0_djvu.txt",NA,"The metaphors of St. Paul and Companions of St. Paul [microform]","Boston : American Tract Society","1871",NA,"University of Chicago"
"maplehillorauntl00amer","corpus/maplehillorauntl00amer_djvu.txt","American Tract Society","Maple Hill, or, Aunt Lucy's stories","Boston : American Tract Society","1862","Religious literature","Information and Library Science Library, University of North Carolina at Chapel Hill"
"memoirofrevmatth00will","corpus/memoirofrevmatth00will_djvu.txt",NA,"Memoir of the Rev. Matthew Henry, the commentator, an immediate descendant of the English puritans","New York : American Tract Society ;","1840",NA,"Princeton Theological Seminary Library"
"harrystriptoorie00newh","corpus/harrystriptoorie00newh_djvu.txt","Newhall Charles Stedman, 1842- [from old catalog]","Harry's trip to the Orient","New York, American tract society","1885",NA,"The Library of Congress"
"childshistoryoff00hall","corpus/childshistoryoff00hall_djvu.txt",NA,"The child's history of the fall of Jerusalem","New York, American tract society","1869",NA,"The Library of Congress"
"socialreligiousl00basmuoft","corpus/socialreligiousl00basmuoft_djvu.txt","Basmajian, Krikor Hagop, 1853-","Social and religious life in the Orient","New York : American Tract Society","1890",NA,"Robarts - University of Toronto"
"historyoflucyjac00amer","corpus/historyoflucyjac00amer_djvu.txt","American Tract Society","History of Lucy Jackson and other books for children and youth","New York : American Tract Society","1860",NA,"The Library of Congress"
"hymnsinomahalang00hami","corpus/hymnsinomahalang00hami_djvu.txt",NA,"Hymns in the Omaha language","New York, American Tract Society","1887","Omaha language","The Library of Congress"
"riseprogressofre00dodd","corpus/riseprogressofre00dodd_djvu.txt","Doddridge, Philip, 1702-1751","The rise and progress of religion in the soul : illustrated in a course of serious and practical addresses, suited to persons of every character and circumstance : with a devout meditation, or prayer, subjoined to each chapter","New York : American Tract Society","1828","Christian life","New York Public Library"
"afflictedmanscom00will_0","corpus/afflictedmanscom00will_0_djvu.txt",NA,"The afflicted man's companion;","New York, American tract society","1851",NA,"The Library of Congress"
"daughtersofarmen00whee_0","corpus/daughtersofarmen00whee_0_djvu.txt","Wheeler, S[usan] A[nna (Brookings)] Mrs","Daughters of Armenia","New York, American tract society","1877",NA,"Princeton Theological Seminary Library"
"sevenyearsinceyl00leit_0","corpus/sevenyearsinceyl00leit_0_djvu.txt",NA,"Seven years in Ceylon: stories of mission life","New York, American Tract Society","1890","Missions","Princeton Theological Seminary Library"
"memoirofjohnmoon01mead","corpus/memoirofjohnmoon01mead_djvu.txt","Mead, Asa, 1792-1831","Memoir of John Mooney Mead, who died at East Hartford, Conn. April 8, 1831, aged 4 years, 11 months, and 4 days ..","New York : American Tract Society","1832",NA,"The Library of Congress"
"pilgrimsprogress03bun","corpus/pilgrimsprogress03bun_djvu.txt","Bunyan, John, 1628-1688","The pilgrim's progress from this world to that which is to come; delivered under the similitude of a dream","New York, American tract society","1850","Christian pilgrims and pilgrimages","The Library of Congress"
"lifeofrevjohnnew00newt_0","corpus/lifeofrevjohnnew00newt_0_djvu.txt",NA,"The life of the Rev. John Newton, rector of St. Mary Woolnoth, London","New York : American Tract Society","1850",NA,"Princeton Theological Seminary Library"
"lifeatthreescore01barn","corpus/lifeatthreescore01barn_djvu.txt",NA,"Life at threescore and ten [microform]","New York, American tract society","1871",NA,"Columbia University Libraries"
"newmemoirofhanna01knig","corpus/newmemoirofhanna01knig_djvu.txt","Knight, Helen C. (Helen Cross), 1814-1906","A new memoir of Hannah More; or, Life in hall and cottage","New York, American Tract Society","1862","More, Hannah, 1745-1833","The Library of Congress"
"pastorswifememoi00sher_0","corpus/pastorswifememoi00sher_0_djvu.txt","Sherman, James, 1796-1862","The pastor's wife : a memoir of Mrs. Martha Sherman","New York : American Tract Society","1850",NA,"Princeton Theological Seminary Library"
"socialreligiousl00basm","corpus/socialreligiousl00basm_djvu.txt","Basmajian, Krikor Hagop, 1853-","Social and religious life in the Orient ..","New York, American tract society","1890","Missions","The Library of Congress"
"thoughtsonpopery00nevi","corpus/thoughtsonpopery00nevi_djvu.txt",NA,"Thoughts on popery","New York, American tract society","1836","Catholic Church","Princeton Theological Seminary Library"
"missionarytwig00burn","corpus/missionarytwig00burn_djvu.txt","Burnett, Emma L","A missionary twig","New York : American Tract Society","1890","Missionaries","School of Theology, Boston University"
